"","Module","TNBC_Correlation","TNBC_P.value","HER2_Correlation","HER2_P.value","ER_Correlation","ER_P.value"
"ME8","ME8",0.250265604219803,2.34750232479774e-05,-0.366622749827446,2.65564869357544e-10,0.248269404171915,2.73896803849893e-05
"ME3","ME3",0.228332314060437,0.000119217436492413,-0.437470172059837,1.80140861347591e-14,0.592778469835523,7.32257995092086e-28
"ME7","ME7",-0.206889199007072,0.000505321417749845,-0.589757045133798,1.57496216081521e-27,0.857994691518535,4.00968895168941e-82
"ME18","ME18",-0.0399465990433919,0.506364308843869,-0.0114838958538173,0.848553801725979,-0.197118876321817,0.000931992286563111
"ME6","ME6",-0.337317217756163,7.50232558461305e-09,0.116042676647744,0.0528507429391783,-0.341894567176791,4.55279913715854e-09
"ME4","ME4",0.00787810595282358,0.895774070092969,-0.583133878944423,8.20903496860523e-27,0.125963834863836,0.0354703108184939
"ME10","ME10",0.0521606122219823,0.385430764994535,-0.475474370373992,3.82588288730149e-17,0.0511248824835677,0.394949091811583
"ME11","ME11",0.775561331156196,2.81635552162121e-57,-0.313353557763244,9.00315121990629e-08,-0.463188060753256,3.04415785905578e-16
"ME15","ME15",0.517413162907127,1.66110657133557e-20,-0.703946033437392,4.70651048624998e-43,-0.0357321232945146,0.552275095906452
"ME1","ME1",0.473012160708049,5.83648981609688e-17,-0.852252032480634,6.3730388863719e-80,0.447344357718513,3.91578527775078e-15
"ME13","ME13",0.159143991891438,0.00773809167708579,-0.219956623769157,0.000213101831180447,0.103261318610488,0.0851300947025555
"ME9","ME9",-0.0106408376216365,0.859552314184436,0.530236329072255,1.24824408681129e-21,-0.454666531167771,1.22258358895897e-15
"ME12","ME12",-0.132402363478838,0.0270101502262327,0.498342506161537,6.40823497198575e-19,-0.402187808471859,2.85122485146682e-12
"ME19","ME19",0.0885603204040937,0.140075907430642,0.183234755239645,0.0021196000591594,-0.139128197163303,0.0200835462381894
"ME2","ME2",-0.236152890699563,6.7963294513068e-05,0.806715861607147,3.09155811188624e-65,-0.390868618163162,1.28123969920967e-11
"ME14","ME14",0.0212578178665534,0.723697598011301,0.33573174522166,8.90247589420197e-09,-0.313987563027922,8.45352132741749e-08
"ME17","ME17",0.412799657825418,6.61236174629388e-13,-0.247120584811808,2.9914529372615e-05,-0.157090465624062,0.00857656110593713
"ME5","ME5",-0.0143925796728423,0.81084460976276,0.0263361870791629,0.661384776300032,-0.0572378553413203,0.340818350039501
"ME16","ME16",0.0122357528725307,0.83876970723816,0.300414313384739,3.15420854433689e-07,0.0396566140714335,0.509458084837842
"ME0","ME0",0.370324694995933,1.69878030387209e-10,-0.0660641025024727,0.271447282397467,-0.0234081518685832,0.697060754392592
