"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
"1",1,0.433329396978423,7.07099512678115,0.946914017404316,13197.5949606645,13201.965822723,14605.3912450344
"2",2,0.0496311543580324,-0.909226539475977,0.796254494120382,7250.35985464927,7106.99687733181,9335.3354427691
"3",3,0.593343297200197,-2.60332412180804,0.872232134042453,4219.93362479156,4043.28560844686,6585.12393638299
"4",4,0.711533549388879,-2.51014151949433,0.895244357375743,2579.16153181343,2402.34080248687,4921.13277876547
"5",5,0.774681606803808,-2.31446472854101,0.916775403841656,1643.78890432339,1476.6354793873,3825.37543998642
"6",6,0.812071641685202,-2.16116135270956,0.930912160133477,1086.32890180812,930.723396201413,3060.44796953333
"7",7,0.84487649578686,-2.07103341365884,0.943599857551983,740.985135449049,601.500041616603,2502.95874466846
"8",8,0.870066169827204,-2.01101118445884,0.951605856238457,519.643075625797,397.505924445056,2083.01052966073
"9",9,0.881395484883199,-1.96910692043615,0.952560296753273,373.441028137391,266.815961282734,1758.2868401591
"10",10,0.892444140422502,-1.93566637301578,0.955684651349497,274.247587176846,182.750172585434,1501.79515693105
"11",11,0.894265371976678,-1.91500891339657,0.954478142540742,205.315556160072,126.92459658593,1295.68135428417
"12",12,0.904450046070374,-1.88256512861057,0.961104257560561,156.371143760121,89.1922752595592,1130.38294045707
"13",12,0.904450046070374,-1.88256512861057,0.961104257560561,156.371143760121,89.1922752595592,1130.38294045707
"14",13,0.893088961725509,-1.87908916226906,0.951856731714443,120.938624802706,63.4506078343281,993.699128748719
"15",14,0.887662666667236,-1.86428335946557,0.947256543898823,94.8346789906772,45.7185073983882,879.35385634542
"16",14,0.887662666667236,-1.86428335946557,0.947256543898823,94.8346789906772,45.7185073983882,879.35385634542
"17",15,0.890533747861497,-1.84235960334298,0.950017065158022,75.295701958181,33.2105512496491,782.715830545309
"18",16,0.876239694516649,-1.84573122466237,0.941536679250728,60.4582538307986,24.2764085221753,700.303977194522
"19",16,0.876239694516649,-1.84573122466237,0.941536679250728,60.4582538307986,24.2764085221753,700.303977194522
"20",17,0.885256266263648,-1.81923065404978,0.949125282065982,49.0420725714061,17.8431834203559,629.458949364475
"21",18,0.881861543777973,-1.80595367086256,0.946531564822509,40.1522733907192,13.2512574621368,568.119589451638
"22",18,0.881861543777973,-1.80595367086256,0.946531564822509,40.1522733907192,13.2512574621368,568.119589451638
"23",19,0.875219004691322,-1.80036186952977,0.942787184039986,33.1533339754137,9.93060225035748,514.66753732287
"24",20,0.853605123289718,-1.81110929417776,0.930050493971501,27.5872591424252,7.49845922427809,467.817148939989
"25",20,0.853605123289718,-1.81110929417776,0.930050493971501,27.5872591424252,7.49845922427809,467.817148939989
"26",22,0.867306762743118,-1.7733621193142,0.944154659206039,19.502515006431,4.35253973074102,389.987782453684
"27",24,0.865192021859772,-1.75287994466428,0.946066885728729,14.1251646531947,2.57203728167706,328.470633539367
"28",26,0.874205117918651,-1.72460715989984,0.95685712637001,10.4455618866245,1.55507200009874,279.08810282554
"29",28,0.868471275033717,-1.71465652990941,0.957851665055205,7.86519077813191,0.961742381315323,238.922209191846
"30",30,0.877537758729765,-1.6896410049509,0.962845536332925,6.01663430510441,0.606047654434078,205.882341938737
"31",32,0.884528690868048,-1.6744287133566,0.96834796083049,4.66732252964331,0.388775874867278,178.437373359458
"32",34,0.889302659575438,-1.66162124818282,0.973958711692398,3.66600686955403,0.251543785586035,155.444234827072
"33",36,0.877441641745703,-1.66676235989012,0.970450735745321,2.91193679899869,0.165020284310036,136.035095663658
"34",38,0.883028782526631,-1.64699220483867,0.975427029905297,2.33654864643172,0.110041168734313,119.541241263434
"35",40,0.882026151365558,-1.64618051266107,0.973801903924875,1.89227971862476,0.0736706276314727,105.440561541946
"36",42,0.886104642473744,-1.63903660253748,0.975847978385045,1.54556137561757,0.0494818314754736,93.32059974154
"37",44,0.887007674015978,-1.63685802307776,0.975569498534475,1.27232909573402,0.0337415537095445,82.8520813376845
"38",46,0.893360197577076,-1.6245574368311,0.980222728561978,1.0550855428875,0.0229616457649621,73.7696414712465
"39",48,0.892189419004094,-1.62699563930956,0.97892070105638,0.880943121255067,0.0157621570308394,65.8575859551618
"40",50,0.897350400024857,-1.61900753309466,0.980749308851834,0.740296813146724,0.0109705408377997,58.9392298133854
